mmsi,year,month
123450800,2014,1
123450800,2014,10
123450800,2014,11
123450800,2014,12
123450800,2014,2
123450800,2014,3
123450800,2014,4
123450800,2014,5
123450800,2014,6
123450800,2014,7
123450800,2014,8
123450800,2014,9
123450800,2015,1
123450800,2015,2
123450800,2015,3
123450800,2015,4
123450800,2015,5
123450800,2015,6
123450800,2015,7
224016620,2014,10
224016620,2014,4
224016620,2014,5
224016620,2014,6
224016620,2014,9
224016620,2015,3
224016620,2015,4
224016620,2015,5
224016620,2015,6
356394000,2014,10
356394000,2014,11
356394000,2014,12
356394000,2014,8
356394000,2014,9
356394000,2015,1
356394000,2015,4
356394000,2015,5
356394000,2015,7
359001000,2014,10
359001000,2014,8
359001000,2015,2
359001000,2015,3
359001000,2015,6
359001000,2015,7
367338620,2014,12
367338620,2015,1
367338620,2015,2
432927000,2014,1
432927000,2014,10
432927000,2014,11
432927000,2014,12
432927000,2014,2
432927000,2014,3
432927000,2014,4
432927000,2014,5
432927000,2014,6
432927000,2014,7
432927000,2014,8
432927000,2014,9
432927000,2015,1
432927000,2015,2
432927000,2015,3
432927000,2015,4
432927000,2015,5
432927000,2015,6
432927000,2015,7
775000000,2014,1
775000000,2014,10
775000000,2014,11
775000000,2014,12
775000000,2014,2
775000000,2014,3
775000000,2014,4
775000000,2014,5
775000000,2014,6
775000000,2014,7
775000000,2014,8
775000000,2014,9
775000000,2015,1
775000000,2015,2
775000000,2015,3
775000000,2015,4
775000000,2015,5
775000000,2015,6
775000000,2015,7
