mmsi,months_2015
412329653,"1,2,3,4,5,6,7,8,9,10,11,12"
412331017,"1,3,4,5,6,7,9,10,11,12"
412380350,"1,2,3,4,5,6,7,8,9,10,11,12"
412420001,"1,3,4,5,6,7,11,12"
412420104,"1,2,3,4,5,6,7,8,9,10,11,12"
412420251,"3,4,6,7,8,9,10,11,12"
412420374,"2,3,4,5,6,7,8,9,10,11,12"
412420488,"1,2,3,4,5,6,7,8,9,10,11,12"
412420958,"5,6,7,8,9,10,11,12"
412420965,"5,6,7,8,9,10,11,12"
412443687,"2,3,4,5,7,8,10,11,12"
412443949,"1,2,3,4,5,6,7,8,11,12"
412463898,"3,4,5"
412753740,"1,2,3,4,5,6,7,8,9,10,11,12"
413005658,"6,7,8,9,10,11,12"
413235000,"2,3,4,5,6,7,8,9,10,11,12"
413300120,"1,2,3,4,5,6,7,8,9,10,11,12"
413302640,"1,2,3,5,6,7,9,12"
413771358,"1,2,3,4,5,6,7,8,9,10,11,12"
419000633,"1,2,3,4,5,6,8,9,10,11,12"
419002766,"2,3,4,5"
419098600,"1,2,3,4,5,6,7,8,9,10,11,12"
431086000,"1,6,7,8,10,11"
431100381,"1,2,3,4,5,6,7,8,9,10,11,12"
432791000,"1,4,5,6,7,8,9,10,11,12"
503005590,"1,2,3,4,5,6,7,8,9,10,12"
503094000,"1,2,3,4,6,9,12"
503156500,"1,2,3,4,5,6,7,8,9"
503363800,"1,2,3,4,5,6,7,9,10,11,12"
503540000,"1,2,3,4,5,6,7,8,9,10,11,12"
512003936,"2,3,4,5"
512004025,"2,3,4,5,6"
518100036,"2,3,4,5,6,7,8,9,10,11,12"
518100102,"9,10,11,12"
525018368,"1,8,10,11,12"
533000966,"1,2,3,4,5,10,12"
533002100,"1,2,3,4,5,7,8,10,11"
533795000,"3,4,6,7,8,9,11,12"
553111745,"2,3,4,5,6,7,8,12"
561003000,"1,2,3,4,5,6"
563740000,"1,2,3,4,5,6,7,8,9,10,11,12"
563786000,"1,2,3,5,6,7,8"
564542000,"2,3,4,5,6,7,8"
565590000,"1,2,3,4,5,6,7,8,9,10,11,12"
565799000,"1,2,3,4,9,10,11"
574756000,"1,2,3,4,5,6,7,8,9,10,11,12"
576190000,"1,7,8,9,10,11,12"
576496000,"1,2,3,4,5,6,7,8,9,10,11,12"
576497000,"1,2,3,4,5,6,7,8,9,10,11,12"
577325000,"3,4,5,6,7,8,9,10,12"
636013688,"1,2,3,4,5,6,7,8,9,10,11,12"
636015209,"1,2,3,4,5,6,7,8,10,11"
636016860,"4,7,9,12"
636091723,"1,2,3,4,5"
636091926,"1,2,3"
677071200,"1,2,3,4,5,6"
740336000,"1,2,3,4,5,7,8,9,10,12"
740338000,"1,2,3,4,5,6,7,8,9,10,12"
740356000,"1,2,3,4,5,7,8,9,12"
900016688,"1,3,4,6,7,8"
