mmsi,label,label_score,type,type_score
224503230,Purse seine,0.8844384551048279,56,1.0
525005013,Purse seine,0.9675455093383789,60,1.0
413762607,Purse seine,0.8254958391189575,70,1.0
701319841,Purse seine,0.8373212814331055,10,0.9136460554371002
413809107,Purse seine,0.9626780152320862,52,1.0
367666000,Purse seine,0.9963916778564453,70,1.0
413982134,Purse seine,0.8269956707954407,70,1.0
224935540,Purse seine,0.8390483856201172,37,1.0
440103090,Purse seine,0.8773510456085205,95,1.0
227258290,Purse seine,0.9384632706642151,37,1.0
338173208,Purse seine,0.949868381023407,37,1.0
413830574,Purse seine,0.905669629573822,70,1.0
413802042,Purse seine,0.9607439637184143,70,1.0
413766622,Purse seine,0.994529664516449,70,0.9989177489177489
257779360,Purse seine,0.9029051065444946,37,1.0
413950083,Purse seine,0.9061639308929443,70,1.0
244650004,Purse seine,0.8350696563720703,37,1.0
503571400,Purse seine,0.805036723613739,55,1.0
338175418,Purse seine,0.8472437858581543,37,1.0
725003280,Purse seine,0.8796876072883606,60,1.0
250000111,Purse seine,0.8991193175315857,60,0.9708029197080292
333888999,Purse seine,0.9972273707389832,37,1.0
400121500,Purse seine,0.929434061050415,37,1.0
263906380,Purse seine,0.8530802130699158,36,1.0
900899965,Purse seine,0.9940003156661987,70,1.0
224012730,Purse seine,0.8091936707496643,36,1.0
235002453,Purse seine,0.9149484634399414,50,1.0
244780598,Purse seine,0.8369578719139099,79,1.0
413996094,Purse seine,0.8143165707588196,70,1.0
413962155,Purse seine,0.8940608501434326,70,1.0
412434226,Purse seine,0.8058984279632568,37,1.0
338145727,Purse seine,0.9356384873390198,31,1.0
413767005,Purse seine,0.830177903175354,70,1.0
572718210,Purse seine,0.9730579257011414,80,1.0
525022145,Purse seine,0.9789333343505859,70,0.9817663817663818
503008850,Purse seine,0.9450060725212097,37,1.0
431004641,Purse seine,0.9159976840019226,31,1.0
982358863,Purse seine,0.957719087600708,53,1.0
224226870,Purse seine,0.903229832649231,60,1.0
