mmsi,months_2015
203999308,"1,3,4,5,6,7,8,9,10,11,12"
203999352,"1,2,3,4,5,6,7,8,9,10,11,12"
203999353,"1,2,7,8,9,10,11,12"
203999383,"1,2,3,4,5,6,7,8,9,10,11,12"
203999424,"1,3,4,5,6,7,8,9,10,11,12"
205308190,"1,2,3,4,5,6,7,8,9,10,11,12"
205347990,"1,2,3,4,5,6,7,8,9,10,11,12"
205376890,"1,2,3,4,5,6,7,8,9,10,11,12"
205408090,"1,2,3,4,5,6,7,8,9,10,11,12"
205461590,"1,2,3,4,5,6,7,8,9,10,11,12"
205512890,"1,2,3,4,5,6,7,8,9,10,11,12"
205523690,"1,2,3,4,5,6,7,8,9,10,11,12"
207072342,"1,2,3,4,5,6,7,8,9,10,11,12"
207261313,"1,2,3,4,5,6,7,8,9,10,11,12"
210219000,"1,2,3,4,5,6,7,8,9,10,11,12"
211002011,"7,8,9"
211169330,"1,2,3,4,5,6,7,8,9,10,11,12"
211169540,"1,2,3,4,5,6,7,8,9,10,11,12"
211169810,"1,2,3,4,5,6,7,8,9,10,11,12"
211169870,"1,2,3,4,5,6,7,8,9,10,11,12"
211171180,"1,2,3,4,5,6,7,8,9,10,11,12"
211182740,"1,2,3,4,5,6,7,8,9,10,11,12"
211183290,"1,2,3,4,5,6,7,8,9,10,11,12"
211183340,"1,2,3,4,5,6,7,8,9,10,11,12"
211190940,"1,2,3,4,5,6,7,8,9,10,11,12"
211209890,"1,2,3,4,5,6,7,8,9,10,11,12"
211309260,"1,2,3,4,5,6,7,8,9,10,11,12"
211430730,"1,2,3,8,9,10,11,12"
211431140,"1,2,3,4,5,6,7,8,9,10,11,12"
211437690,"1,2,3,4,5,6,7,8,9,10"
211449050,"1,2,3,4,5,6,7,8,9,10,11,12"
211464610,"1,2,3,4,5,6,7,8,9,10,11,12"
211470290,"1,2,3,4,5,6,7,8,9,10,11,12"
211475510,"1,2,3,4,5,6,7,8,9,10,11,12"
211476540,"1,2,3,4,5,6,7,8,9,10,11,12"
211478990,"1,2,3,4,5,6,7,8,9,10,11,12"
211481250,"1,2,3,4,5,6,7,8,9,10,11,12"
211482070,"1,2,3,4,5,6,7,8,9,10,11,12"
211483540,"1,2,3,4,5,6,7,8,9,10,11,12"
211483650,"1,2,3,4,5,6,7,8,9,10,11,12"
211492880,"1,2,3,4,5,6,7,8,9,10,11,12"
211507020,"1,2,3,4,5,6,7,8,9,10,11,12"
211509040,"1,2,3,4,5,6,7,8,9,10,11,12"
211509160,"1,2,3,4,5,6,7,8,9,10,11,12"
211509240,"1,2,3,4,5,6,7,8,9,10,11,12"
211510640,"1,2,12"
211511370,"1,3,4,5,6,7,8,9,10,11,12"
211511890,"1,2,4,5,6,7,8,9,10,11,12"
211512080,"1,2,3,4,5,6,7,8,9,10,11,12"
211512600,"4,5,6,8"
211515160,"4,6,7,8,9,10,11,12"
211535890,"1,2,3,4,5,6,7,8,9,10,11,12"
211549520,"1,2,3,4,5,6,7,8,9,10,11,12"
211554300,"1,2,3,4,5,6,7,8,9,10,11,12"
211555070,"1,2,3,4,5,6,7,8,9,10,11,12"
211563260,"1,2,3,4,5,6,7,8,9,10,11,12"
211589480,"1,2,3,4,5,6,7,8,9,10,11,12"
211593640,"3,4,5,6,7,8,9,10,11,12"
211623160,"1,2,3,4,5,6,7,8,9,10,11,12"
211624810,"1,2,3,4,5,6,7,8,9,10,11,12"
211629910,"1,2,3,4,5,6,7"
211633700,"1,2,3,4,5,6,7,8,9,10,11,12"
211660150,"1,2,3,4,5,6,7,8,9,10,11,12"
211660310,"1,2,3,4,5,6,7,8,9,10,11,12"
211661030,"6,7,8,9,10,11,12"
211661060,"1,2,3,4,5,6,7,8,9,10,11,12"
211668930,"1,2,3,4,5,6,7,8,9,10,11,12"
212049000,"1,2,3,4,5,6,7,8,9,10,11,12"
215441000,"1,2,3,4,5,6,7,8,9,10,11,12"
215892000,"1,2,3,4,5,6,7,8,9,10,11,12"
227720520,"1,4,5,6,7,8,9,10,11,12"
229065000,"1,2,3,4,5,6,7,8,9,10,11,12"
229346000,"1,2,3,4,5,6,7,8,9,10,11,12"
238812840,"1,2,3,4,5,6,7,8,9,10,11,12"
243000046,"5,6,7,8,9"
243070609,"3,4,5,6,7,8,9,10,11,12"
243070814,"3,4,6,9,10,11,12"
243071717,"1,2,3,4,5,6,7,8,9,10,11,12"
244030401,"1,2,3,4,5,6,7,8,9,10,11,12"
244250702,"1,2,3,7,8,9,10,11,12"
244620284,"1,2,3,4,5,6,7,8,9,10,11,12"
244630147,"1,2,3,4,5,6,7,8,9,10,11,12"
244630764,"1,2,3,4,5,6,7,8,9,10,11,12"
244650891,"1,2,3,4,5,6,7,8,9,10,11,12"
244650899,"1,2,3,4,5,6,7,8,9,10,11,12"
244650903,"1,2,3,4,5,6,7,8,9,10,11,12"
244660036,"1,2,3,4,5,6,7,8,9,10,11,12"
244660100,"1,2,3,4,5,6,7,8,9,10,11,12"
244660366,"1,2,3,4,5,6,7,8,9,10,11,12"
244660546,"1,2,3,4,5,6,7,8,9,10,11,12"
244660746,"1,2,3,4,5,6,7,8,9,10,11,12"
244660885,"1,2,3,4,5,6,7,8,9,10,11,12"
244670089,"1,2,3,4,5,6,7,8,9,10,11,12"
244670138,"1,2,3,4,5,6,7,8,9,10,11,12"
244670374,"2,4,5,6,7"
244670506,"1,2,3,4,5,6,7,8,9,10,11,12"
244670532,"1,2,3,4,5,6,7,8,9,10,11,12"
244670582,"1,2,3,4,5,6,7,8,9,10,11,12"
244670799,"1,2,3,4,5,6,7,8,9,10,11,12"
244670841,"1,2,3,4,5,6,7,8,9,10,11,12"
244690277,"1,2,3,4,5,6,7,8,9,10,11,12"
244690637,"1,2,3,4,5,6,7,8,9,10,11,12"
244710458,"1,2,3,4,5,6,7,8,9,10,11,12"
244710505,"1,2,3,4,5,6,7,8,9,10,11,12"
244730899,"2,3,4,5,6,7,8,9,10,11,12"
244750134,"1,2,3,4,5,6,7,8,9,10,11,12"
244750523,"1,2,3,4,5,6,7,8,9,10,11,12"
244750808,"1,2,3,4,5,6,7,8,9,10,11,12"
244790016,"6,7,8,9,10,11,12"
244790570,"1,3,4,5,6,7,8,9,10,11,12"
244870455,"10,11,12"
249562000,"1,2,3,4,5,6,7,8,9,10,11,12"
253242366,"1,2,3,4,5,6,7,8,9,10,11,12"
256306000,"3,4,5,6,7,8,9,10,11,12"
256897000,"1,3,4,5,6,7,8,9,10,11,12"
261182658,"1,2,3,4,5,6,7,8,9,10,11,12"
261182694,"1,2,3,4,5,6,7,8,9,10,11,12"
261182698,"3,4,5,6,7,8,9,10,11,12"
261183490,"2,3,4,5,6,7,8,9,10,11,12"
261186338,"1,2,3,4,5,6,7,8,9,10,11,12"
264162038,"1,2,3,4,5,6,7,8,9,10,11,12"
264162120,"1,2,3,4,5,6,7,8,9,10,11,12"
264162519,"1,2,3,4,5,6,7,8,9,10,11,12"
264163192,"1,2,3,4,5,6,7,8,9,10,11"
264163228,"1,2,3,4,5,6,7,8,9,10,11,12"
267010025,"1,2,3,4,5,6,7,8,9,10,11,12"
267010047,"6,7,8"
267173000,"1,2,3,4,5,6,7,8,9,10,11,12"
267210040,"1,2,4,5,6,7,8,9,10,11,12"
269057390,"1,2,3,4,5,6,7,8,9,10,11,12"
269057395,"1,2,3,4,5,6,7,8,9,10,11,12"
269057416,"1,2,3,4,5,6,7,8,9,10,11,12"
269057465,"1,2,3,4,5,6,7,8,9,10,11,12"
269057499,"1,2,3,4,5,6,7,8,9,10,11,12"
269057512,"1,2,3,4,5,6,7,8,9,10,11,12"
