mmsi,months_2015
100000000,"1,2,3,4,5,6,7,8,9,10,11,12"
100900012,"3,4,5,6,7,8,9,10,11,12"
1193046,"1,2,3,4,5,6,7,8"
123456789,"1,2,3,4,5"
168,"1,2,3,4,5,6,7,8,9,10,11,12"
203999329,"7,8,11"
203999396,"2,3,6,8,9,10,11,12"
203999399,"1,3,4,5,6,7,8,9,10,11,12"
211169130,"2,3,4,5,6,7,8,9,10"
211489990,"1,2,3,4,5,6,7,8,9,10,11,12"
211512450,"4,5,6,7,8,9,10,11"
211512460,"5,6,7,8,9,10"
211517440,"3,4,5,6,7,8,9,10,11,12"
211587830,"1,2,3,4,5,6,7,8,9,10,11,12"
211617370,"3,4,5,6,7,9,10,11,12"
222222222,"1,2,3,4,5,6,7,8"
243070717,"1,2,3,4,5,6,7,8,9,10,11,12"
261182601,"1,2,3,4,5,6,7,8,9,10,11,12"
261182608,"2,3,4,5,7,8,10,11,12"
267010070,"1,2,3,4"
267010072,"2,8,9,10"
308429000,"1,2,3,4,5,6,7,8,9,10,11,12"
338188861,"6,7,8,9,10,11,12"
356986000,"1,2,3,4,5,6,7,8,9,10,11,12"
367514610,"2,4,5,6,8,9,10,11,12"
367514620,"1,2,3,6,7,8,9,10,11,12"
367514660,"1,2,3,4,5,6,7,8,9,10,11,12"
367521810,"5,6,7,8,9,10,11,12"
412000000,"1,2,3,4,5,6"
412100000,"1,2,3,4,5,6,7,8,9,10,11,12"
412354420,"1,6,7,8,9,10,11,12"
412356789,"1,2,3,4,5,6,7,8,9,10,11,12"
412441226,"1,2,3,5,6,8,9"
412551330,"1,2,3,4,5,6,7,8"
412763490,"1,2,3,4,5,6,7,8,9,10,11,12"
413000000,"1,2,3,4,5,6,7"
413553620,"1,2,3,4,5,6,7,8,9,10,11"
413567822,"4,5,8,9,10,11,12"
413695320,"1,2,3,4,5,6,7,8,9,10,11,12"
413745689,"1,2,3,4,5,6,7,8,9,10,11,12"
413761262,"1,2,3,7,9,10,11,12"
413761506,"1,2,3,4,5,6,7,8,9"
413762034,"3,4,5,6,7,8,9"
413763244,"6,8,11"
413763382,"1,3,4,6,7,8,9"
413763573,"1,2,4,5,6,7,8,9,10,11"
413763902,"1,3,4,5,6,7,8,9"
413764909,"1,2,4,5,8"
413766868,"1,2,3,4,6,7,8,9"
