mmsi,months_2015
413767142,"1,2,4,5,6,8,9,11"
413767172,"1,3,6,10"
413767215,"3,4,5,6,7,8,9,11,12"
413767375,"4,5,7,9,11"
413767612,"3,4,5,7,8,9,10"
413767983,"4,9,12"
413768003,"4,5,6,7,8,9,10,11"
413769099,"1,3,4,5,6,7,8,9"
413769107,"1,5,6,7,8,9"
413769108,"6,7,8,9,10,11"
413769351,"3,4,6,7,9,10,11,12"
413769875,"1,3,5,6,7,8,9,10,11"
413770863,"1,2,3,4,5,10"
413771332,"1,2,3,4,5"
413771358,"1,2,3,4,5,6,7,8,9,10,11,12"
413772156,"1,2,3,4,5,6,7,8"
413772188,"1,5,7,8,10,12"
413772426,"1,2,3,4,5,6,7,8"
413773504,"1,3,4,5,6,7,8,11,12"
413774592,"2,3,4,5,6,7,8,9,10"
413775067,"1,2,4,6,7,8"
413775177,"1,3,4,6,7,8,10"
413775244,"1,3,5,7,8,9"
413775463,"1,2,3,4,5,9,10"
413776721,"1,2,3,4,5,6,7,8,9,10,11,12"
413777022,"1,3,4,5,9,10,11,12"
413777513,"3,5,7,8,9"
413777773,"1,2,3,4,5,7,8"
413778100,"1,2,3,4,5"
413778438,"1,2,3,4,6,7,8,10,12"
413778834,"1,2,3,4,6,7,9,11"
413778891,"1,2,3,4,5,6,8,9,11"
413779313,"2,5,7,8"
413779571,"1,2,3,4,5,6,8"
413779619,"1,2,3,4,5,6,7,8"
413779827,"1,2,3,4,5,6,7,12"
413779914,"1,3,4,6,7,8,9"
413780046,"4,7,10"
413781444,"1,2,4,5,6,7,9"
413781531,"1,3,4,5,7,8,9"
413781552,"2,3,4,5,6,7,8"
413781794,"1,2,3,4,5,6,7"
413782395,"1,4,6,7"
413783031,"1,2,3,4,5,6,7,8,9,12"
413783129,"1,3,8,10"
413783354,"5,6,7,8"
413783711,"1,2,3,4,5,7,8"
413784438,"1,3,5,6,7,8"
413784736,"1,2,3,4,5,6,7,8,9,12"
413784842,"1,2,3,4,5,6,8,10,11,12"
413784866,"1,2,4,5,7,8,9"
413785698,"1,3,4,5,6,7,8,11"
413785985,"1,2,3,5,6,7"
413786573,"1,2,3,4,5,6,7,8,11"
413786657,"2,3,4,5,7,8,9,12"
413787591,"2,3,4,5,7,8,9,10,12"
413788073,"1,3,8,9"
413789237,"1,3,6,7,9"
413789315,"1,2,3,6,7"
413789405,"1,2,6,9,11"
413789567,"1,2,3,5,9"
413789584,"1,6,7,8,10,11,12"
413789937,"2,3,4,5,6,7"
413790495,"1,3,4,5,6,7,8"
413791444,"1,3,4,5,7,8"
413791546,"1,2,3,5,7,9,11,12"
413791635,"1,2,4,5,6,7,8,9,12"
413792605,"1,3,4,5,7,9"
413793159,"1,3,4,5,6,12"
413793388,"2,3,4,5,7,8"
413793487,"6,7,9"
413793609,"1,3,4,5,6,7,8,9,10"
413793707,"1,4,5,6,7,8,9,10,11"
413793761,"1,3,6,7,8,9,10"
413793855,"1,4,5,8"
413794627,"1,4,5,6,7,8,9"
413794697,"4,5,7,8,10,11"
413800085,"1,3,8"
413800433,"1,2,3,4,5,6,7,8,9,10,11,12"
413800928,"2,3,4,7,8,11"
413801179,"1,4,7,8,10"
413802224,"1,2,3,4,6,7,8,9,11"
413802692,"1,2,3,5,6,7,8,9,10,11,12"
413802872,"3,6,11,12"
413803316,"1,2,3,4,5,6,7,8,9,11,12"
413803633,"4,6,9,11"
413804434,"2,3,5,6,7,10"
413804598,"3,4,7,8,9"
413805604,"1,2,3,4,5,6,7"
413805667,"1,2,5,7,8,9,12"
413805768,"1,2,3,8"
413806725,"2,4,5,7,8"
413807081,"2,7,8,10,12"
413807215,"2,3,4,5,8"
413807463,"1,3,4,5,6,7,8,9"
413807829,"1,3,5,7,8,9"
413808539,"1,3,5,7,8,9,10,11,12"
413808987,"4,6,7"
413809415,"6,8,12"
413809462,"1,3,4,5,6,7,8"
413809722,"1,2,3,4,5,11"
413810079,"1,2,3,4,8,10,11"
413811491,"3,5,8,9"
413812164,"1,3,4,5,6,7,8,9,10,12"
413812525,"2,3,5,6,7,8,9,10"
413813408,"4,7,8"
413814361,"1,4,7,8,9,10,11"
413814635,"1,2,3,4,5,6,8,10"
413814759,"1,2,4,5,6,8,11"
413814911,"1,3,4,5,6,7,11"
413815032,"1,2,3,4,5,6,7,8,9"
413816961,"1,2,3,5,6,7,8"
413817091,"3,4,5,6,7,8,9,11,12"
413817671,"2,3,4,5,6,7,9,10"
413817681,"1,5,7,8,9,11,12"
413818571,"1,2,3,4,5,7,8,10,11"
413819509,"1,3,4,5,6,7,8,9,11,12"
413819529,"1,3,5,6,7"
413820633,"1,3,4,5,6,7,11,12"
413821107,"1,2,3,4,5,6,7,8,11,12"
413822933,"1,2,3,4"
413823549,"1,2,3,4,5,6"
413823907,"1,2,3,4,5,6,7,8,9"
413824089,"2,3,5,6,8"
413824181,"1,2,3,4,6,10,11,12"
413825119,"1,3,4,5,6,7,8,10"
413825138,"2,3,12"
413826357,"3,4,5,6,7,8,9,10,11,12"
413827614,"1,3,4,5,6,7,8,9,10,11,12"
413827642,"4,5,7,8,9,10,11,12"
413827757,"4,5,7,9,10,12"
413828035,"1,3,4,5,6,7,8,9,10,11,12"
413829271,"6,7,8,9"
413854231,"1,3,5,6"
413854316,"1,2,3,4,5,6,7,8,9,11"
413855589,"1,2,3,4,5,6,7,8,9,10,12"
413951715,"1,3,4,5,6,7,8,9,10,11"
413951795,"1,3,4,7,8,9"
413952741,"3,4,5,6,7,8"
413953619,"1,2,7,8,9"
413953783,"1,5,6,7,8,9"
413959157,"3,4,5,6,7,8,9"
413960237,"1,3,4,5,6,8,12"
413960668,"1,3,4,5,6,7,12"
413960734,"1,7,8,9"
413960932,"1,3,4,5,6,7,8"
413964063,"2,3,4,5,7,9,10"
413964468,"1,2,3,4,5,6,7,8"
413970908,"1,2,3,4,5,6,7,8,11"
413970934,"1,2,3,4,5,6,7,8,9,10,11"
413972122,"3,4,5,6,7,9"
413972565,"5,6,7,8,9,10,11"
413972701,"1,2,3,4,5,7,8"
413973471,"1,2,3,4,5,6,7,8,9"
413973955,"1,2,4,6,8,11"
413974057,"2,4,5,10"
413974349,"1,2,3,5,6,7"
413975004,"1,2,3,4,6,7,8,12"
413975527,"1,2,3,4,5,6,7,8,9"
413975824,"1,2,4,5,6,7,8"
413977032,"1,2,3,4,5,6,7,8,9,11,12"
413977066,"1,2,5,6,7,8,11"
413977126,"1,3,4,7,8,9,11"
413978027,"7,8,12"
413979506,"1,2,3,5,7"
413979554,"2,7,8,12"
413979766,"1,2,3,4,5,6,7,9,10,11,12"
413979948,"2,3,4,5,7,9"
413980711,"1,7,8,9,10,12"
413981314,"3,4,6,7,9"
413982917,"1,3,4,5,6,7,8,9,10,11,12"
413984455,"1,2,3,4,5,7,8,10,11"
413986337,"1,5,7,8,9"
413987084,"1,2,3,5,6,8,12"
413987655,"3,4,5,8,9"
413989465,"2,5,6,7,8,9"
413989726,"5,6,8"
413990301,"1,3,7,8,9"
413990851,"1,3,4"
413991927,"1,2,3,4,6,8"
413991934,"1,2,3,4,5,7,8,9"
413993056,"1,3,4,12"
413993396,"1,2,3,4,5,6,7,8,9,11"
413993996,"1,2,3,4,5,6,7,8,9,10"
413994086,"1,4,5,6,7,10,11,12"
413994115,"1,4,5,7,8,10,11"
413994144,"1,2,3,5,8"
413994153,"1,4,12"
413994409,"1,2,3,6,7,8,9,11"
413994826,"3,4,5,6,9"
413995231,"1,2,3,4,5,6,7"
413995235,"1,3,4,5,6,7,8,9,10,11,12"
413995569,"1,2,3,4,5,6,8"
413995596,"1,2,3,4,5,6"
413996066,"2,4,5,6,7,8,9,11,12"
413996099,"1,3,4,5,6,7,8,9,12"
413996275,"1,2,3,4,5,7,8,11"
413996548,"1,2,3,4,5,6,7,8,9,10"
413996851,"1,3,5,7,8,9,11"
413996944,"2,3,4,5,6,7,8,9,11"
413997021,"5,6,7,8"
413998899,"1,2,3,4,5,6,7,9"
434164405,"4,5,6,11"
441557000,"1,2,3,4,5,6,7,8,9,10,11,12"
538002411,"1,2,3,4,5,6,7,8,9"
565062000,"1,2,3,4,5,6,7,8,9,10,11,12"
710000649,"2,3,4,5,6,7,8,9,10,11,12"
710000759,"2,3,4,5,6,10,11,12"
710000839,"1,2,4,6,7,8,9,10,11,12"
710000883,"5,6,7,8,9,10,11"
710000919,"2,5,6"
710000972,"3,7,8,9,10,11,12"
710000973,"1,2,3,8"
710000975,"3,8,10,11,12"
710000989,"1,2,3,4,5,7,8"
710001245,"1,2,3,4,5,6,7,8,9,11,12"
710001313,"2,3,4,5,6,8,9,10"
710001314,"2,3,5,6,7,8,9,10,11,12"
710014660,"7,8,10,11,12"
710251000,"1,2,3,4,5,6,7,8,9,10,11,12"
987654321,"1,2,3,4,5,6,7,8,9,10,11"
999123456,"1,2,3,4,5,6,7,8,9,10,11,12"
