mmsi,months_2014,months_2015
412002777,"1,3,4,5,7,8,9,10,11,12","1,3,4,5"
316008961,"1,4,9,12",1
412423199,"7,8,9,10,11,12","1,3,7"
412328565,9,"4,5"
440000690,"1,3,5,6,7,8,9,10,11,12","1,2,3,4,5,6,7"
412418996,"1,4,5,8,9,11,12","1,2,3,4,5"
412430414,"5,9,10,11,12","1,5"
251194540,"6,7,8",7
200000055,10,"1,2,3,5"
227101600,"1,2,3,4,5,9,10,11,12","1,2,3,4,5"
412479576,1,"1,2"
412061922,"2,3,4,5",
110701275,"9,10,11","1,2,3"
412432048,"1,2,3,7,9,10,11,12","1,2,3,7"
247155210,"7,8","6,7"
412437435,"1,3,4,5,9,10,11,12",
257488620,"2,3,4","2,3,4"
412448749,"11,12",4
416004801,"10,11,12","1,2,3,4,6,7"
412444188,"1,2,3,4,5,8,9,10,11,12","1,2,3,4"
224055250,"1,2,3,4,5,6,9","5,6"
412447295,12,"1,2"
412464376,"4,5,8,10,11,12","1,2,3,4"
412462593,"10,11,12",1
800017081,"1,6,8,9,10,11,12","1,2,3,7"
412444796,"1,4,5,8,9,10,11,12","1,2,4,5"
412286699,"8,9,10,11",
413011032,"9,10","1,2,4,5"
432845000,"1,2,3,4,5,6,7,8,9,10,11,12","1,2,3,4,5,6,7"
412412715,"3,4,9,10,11,12",3
219019804,"7,8,9,10,11,12","3,4,6,7"
412421803,"7,9,10,11","1,2,4,5,6,7"
412449545,"4,5,6,8,11,12","1,2"
412416335,"3,4,5",
231184000,"1,2,3,4,5,6,8,9,10,11,12","1,2,3,4,5,6,7"
701000662,"4,5,7,8,9,10,11","1,2,3,4,5,6,7"
725009500,"1,2,3,4,5,6,7,8,9,10,11,12","1,2,3,4,5,6,7"
412360539,"8,9,10","3,4,5"
900658520,3,"1,2,3,4"
412441214,"3,4,8",
257705500,"1,2,3,4,5,6,7,8,9,11,12","1,2,3,4,5,6,7"
900405802,"8,9,10,11,12",1
247051730,"1,2,3,4,5,6,7,9,10,11,12","1,2,3,4,5,6,7"
257001210,,"3,4,5"
412596013,"7,8,9,10,11,12","1,2,3,4,7"
412450746,"3,4,8,9,10,11,12","1,2"
412123411,"1,2,3,4,5",
265502370,"1,2,3,4,5,6,7,8,9,10,11,12","1,2,3,4,5,6,7"
251415640,"4,5,6,7,9,10","5,6,7"
800028837,11,"5,6"
412428092,"10,11,12","1,2,3,4,5,6"
900303106,"1,2,3,4",
412411689,"1,2,3,4,5,8,9,10,11,12","1,2,3,4,5"
263583000,"1,2,3,4,5,6,7,8,9,10,11,12","1,2,3,4,5,6,7"
90143213,8,"3,4"
413441090,"4,6,11","3,4,6,7"
261008070,"1,2,3,4,5,6,7,8,9,10,11,12","1,2,3,4,5,6,7"
235071779,"1,2,3,4,5,6,7,8,9,10,11,12","1,2,3,4,5,6,7"
412433799,"1,3,4,5,8,9,10,11","4,5"
224094160,"8,9,10","3,5,6,7"
271072382,"1,2,3,4,6,7,8,9,10,11,12","1,2,3,4,5,6"
412457011,"1,2,3,5,6,7,11","1,3,4"
247121880,"5,6,7,8,9,10","4,5,6,7"
412433643,"9,10,11",
228282000,"3,4,5,6,7,8,9,10,11,12","1,2,3,4,5,6,7"
265616100,"8,10",7
247121820,12,"1,2,3,4,5,6,7"
412464495,"9,12","6,7"
338145405,"1,2,3,4,5,6,7,8,9,10",
412515898,"3,4",4
235087027,"10,11","3,4,5,7"
412464331,"2,3,4,7,8,9,10,11,12","1,3,4,7"
410025515,"2,3,4,5,7",
412489777,"4,7,8,9,10,11,12","1,2,3,4,5,7"
412441905,11,"4,5,7"
412445383,"4,5,8,9,11",
412449247,"2,3,4,6,7,8,9,10,11,12","1,2,3,4,5,6,7"
412323921,"9,10,11",
412417063,"1,3,4,5,9,11,12","1,2,3,4,5"
412478686,9,"1,3,4,5"
412450085,"1,2,3,5,6,7,10,11,12","1,2,3,4"
304145000,"1,2,3,4,5,6,7,8,9,10,11,12","1,2,3,4,5,6,7"
247143580,"1,2,3,4,5,6,7,8,9,10,11","2,3,4,5,6,7"
900402635,"1,10,12","1,2,3,4"
270007565,"3,4,5",
412435094,"7,9",7
265668860,"6,7,10,11","1,3"
130400923,"5,8,9",
412329271,"5,9,10",
272740000,"9,10,11,12","1,2,3"
412462038,"3,4","3,4,5"
231045000,"1,2,3,4,5,6,7,8,9,10,11,12","1,2,3,4,5,6,7"
412064497,"5,9,10",5
412431119,"2,3,4,8,9,10,11,12",3
412416059,"9,10",3
412201603,"3,4,9,10,11,12",
412413956,"2,3,4,8,9,10,11,12","2,3,4"
412286805,"3,4,5,6,7,8,9,10,11,12","1,2,3,4,5,6,7"
251576540,"3,4,5,6",3
900019534,"2,3,4,5,8,9,10,11,12","1,2,3"
412421998,"9,10,11,12","1,3,4,5"
412430411,"5,9,10,11,12","1,5"
412418804,"1,8,10,11,12","1,3,4"
224020790,"1,2,3,6,7,8,9,10,11,12","1,2,3,6,7"
412422289,"2,3,4,5,7,9,10,11,12","1,2,3,4,5,7"
412698540,"1,4,5,6,12",
412300862,"9,10,11,12",
259595000,"1,2,3,4,5,6,7,8,9,10,11,12","1,2,3,4,5,6,7"
413214763,"3,4,5,7,8,9,12","3,4,7"
900412851,12,"1,3,4,5"
412469752,"4,8,9",
412460866,"1,2,9,10,11,12","1,2,3,4,5"
412427022,"3,5,8,9,10","2,5"
431702990,"1,2,3,4,5,6,7,8,9,10,11,12","1,2,3,4,5,6,7"
412330746,"5,9,10,11",5
412418459,"3,4,5","1,3,4,5"
235090864,"1,3,4,5,11,12",1
900264110,"2,3,4,5",
412418411,"4,5,8,9,11,12","2,3,4"
228258000,"1,2,3,4,5,6,7,8,9,10,11,12","1,2,3,4,5,6,7"
412412192,"2,4,5",
271062117,"2,3,4,9,10,11,12","1,2"
412202537,"9,10,11",
412568997,"1,3,4,9,11,12","1,2,4,5"
800036705,"5,10,11","5,6"
367416270,"1,2,3,4,5,6,7,8,9,10,11","1,2,3,4,5,6,7"
412413602,"5,9,10,11,12",5
412418986,"1,4,5,11,12",
412423422,"9,10,11,12","1,3,4,5,6"
247063630,"1,2,3,4,5,6,7,8,9,10,11,12","1,2,3,4,5,6,7"
412213273,"9,10,11","4,5"
699889966,"1,2,3,4",
251080110,"2,3,4,5,6,7,8,9,10,11,12","1,2,3,4,5,6,7"
210000009,"7,8,9,10,11,12","1,2,3,4,5,6"
205155000,"1,2,3,4,5,6,7,8,9,10,11,12","1,2,3,4,5,6,7"
412328001,"2,5,7",
