mmsi,shipname,imo,callsign,shiptype,shiptype_fishing,clav_TUVI,imo_rank,callsign_rank,name_rank,flag_match,date_range_match,clav_date_match,fishing_msg_ratio,clav_DateUpdated,rfmo_name,match_start,match_end,match_score
432760000,CHOSUI MARU,,JNTU,Fishery research vessels,0,15691,0,1,0,1,0,1,,00:39.0,WCPFC,59:12.0,36:16.0,116892
273351170,WIN MAX 3,8320834,H8ON,Longliners,1,23966,1,0,0,0,0,1,,34:35.0,CCSBT,23:32.0,28:34.0,17699
431710000,Kaiyo Maru,,JKQQ,Longliners,1,15070,0,1,0,1,0,0,1,00:00.0,IATTC,17:12.0,38:34.0,4558.5
431225000,KASHIMA MARU,,JEDY,Fishery research vessels,0,15608,0,1,4,1,1,1,1,03:28.0,WCPFC,06:03.0,53:11.0,75737.2
577077000,TAIHO MARU,9459591,YJRZ2,Fish carriers,0,26785,1,1,2,1,1,1,,35:30.0,WCPFC,17:54.0,22:54.0,363459.6
374008000,YAKUSHIMA,,3FRZ7,Fish carriers,0,23968,0,1,0,0,0,0,,19:39.0,IOTC,02:38.0,03:14.0,1646.5
431263000,GOUTA MARU,9746827,7JUZ,,1,38579,1,1,1,1,1,1,,30:05.0,CCSBT,34:24.0,43:32.0,30727.2
374008000,YAKUSHIMA,,3FRZ7,Longliners,1,23968,0,1,0,0,0,0,,00:00.0,CCSBT,02:38.0,03:14.0,1646.5
416833000,CHANG LI 1,,BH3293,Longliners,1,5738,0,1,0,1,0,0,1,00:00.0,CCSBT,03:15.0,33:45.0,217.5
577169000,TAISEI MARU No.15,8710728,7JTK,Fish carriers,0,23977,1,0,0,0,0,0,,13:54.0,ICCAT,11:44.0,08:32.0,4298.75
431469000,KAGAWA MARU,,JIJQ,Fishery research vessels,0,15665,0,1,1,1,1,1,1,54:08.0,WCPFC,30:37.0,26:57.0,68714.8
273351170,WIN MAX No 3,,HBON,Fish carriers,0,23966,1,0,0,0,0,1,,50:06.0,ICCAT,23:32.0,28:34.0,17699
529346000,HOZAN MARU,,YJQB9,Fish carriers,0,23965,1,0,0,0,0,1,,05:53.0,WCPFC,36:03.0,07:20.0,21027
432395000,Miyagi Maru,,JCHQ,Longliners,1,15589,0,1,0,1,0,0,0.999890925,00:00.0,IATTC,02:33.0,13:34.0,4584
372295000,HIKARI 1,9293313,3EHY9,Fish carriers,0,23974,0,1,0,1,0,1,,22:46.0,WCPFC,19:13.0,55:22.0,55308
413270220,JIN SHENG N0.1,,BZZX6,Fish carriers,0,528,1,1,0,1,1,0,1,00:00.0,ICCAT,43:18.0,55:26.0,3186
224224000,AGURTZA BERRIA,,EBSJ,Unknown,1,7915,1,1,1,1,1,0,,13:05.0,IOTC,06:33.0,55:30.0,273.025
431465000,Shoyo Maru,,JLOJ,Longliners,1,15762,0,1,0,1,0,0,,00:00.0,IATTC,17:31.0,42:57.0,14351.75
431263000,GOUTA MARU,,7JUZ,Fish carriers,0,38579,1,1,1,1,1,1,,18:39.0,IOTC,34:24.0,43:32.0,30727.2
576270000,HIKARI 1,,3EFB3,Fish carriers,0,23974,1,0,1,0,1,1,,50:06.0,ICCAT,15:29.0,31:13.0,8297.3
227503000,JEAN MARIE CHRISTIAN 3,,FLRC,Tuna purse seiners,1,1461,0,1,0,1,0,0,1,00:00.0,IOTC,14:49.0,48:44.0,9875.25
271072208,��ENG��L KARDE��LER,,TC5364,Purse seiners,1,7000,0,1,0,1,0,1,1,09:19.0,ICCAT,05:07.0,47:04.0,6656
416702000,SHENG HONG,7920869,BZLL,Longliners,1,24161,1,1,2,1,1,1,,34:35.0,CCSBT,33:51.0,10:28.0,337792.8
432322000,Kaiho Maru 5,,7MGG,Longliners,1,15706,0,1,0,1,0,0,1,00:00.0,IATTC,01:33.0,23:37.0,4300.75
431225000,Kashima Maru,,JEDY,Longliners,1,15608,0,1,0,1,0,0,1,00:00.0,IATTC,06:03.0,53:11.0,4303.25
440182000,Seiwa,9021277,DSMA2,Fish carriers,0,26938,0,1,0,1,0,0,,00:00.0,IATTC,40:31.0,30:54.0,10270
432395000,MIYAGI MARU,,JCHQ,Fishery research vessels,0,15589,0,1,1,1,1,1,0.999890925,02:16.0,WCPFC,02:33.0,13:34.0,80678.4
636092595,Bonaire Trader,9340922,D5GP9,Fish carriers,0,37647,3,1,0,1,1,1,,00:00.0,IATTC,13:56.0,48:49.0,52272
224020170,GARCIA RODRIGUEZ,,EA8363,Longliners,1,1,0,1,1,1,1,1,,12:44.0,IOTC,01:00.0,41:08.0,37238.4
627093246,RYUTA,,3FSG7,Fish carriers,0,26899,1,0,0,0,0,1,,05:54.0,WCPFC,44:01.0,10:54.0,24443
431717000,TANSHU MARU,,JMRV,Fishery research vessels,0,15654,0,1,1,1,1,0,1,29:06.0,WCPFC,28:29.0,02:31.0,3890.425
432321000,SATSUMA SEIUN MARU,,JIQR,Fishery research vessels,0,15698,1,1,1,1,1,1,1,09:40.0,WCPFC,41:41.0,53:44.0,97826.4
224276000,ZAHARA UNO,,ECFS,Unknown,1,38496,1,1,1,1,1,0,0.044849785,52:32.0,IOTC,12:04.0,27:27.0,2446.5
627093246,VOLTA VICTORY,9140102,9GRG,Fish carriers,0,26899,1,1,0,1,1,1,,22:12.0,ICCAT,44:01.0,10:54.0,195544
576507000,Oceanus,9194919,YJQH9,Fish carriers,0,23990,2,1,0,1,1,0,,00:00.0,IATTC,31:14.0,43:07.0,1674.25
431272000,FUKUSHIMA MARU,,JBZR,Fishery research vessels,0,15598,0,1,2,1,1,1,0.172640653,57:55.0,WCPFC,50:40.0,34:41.0,58185.6
441032000,Sei Shin,,DSOP5,Fish carriers,0,24160,1,1,0,1,1,1,,00:00.0,IATTC,44:34.0,30:44.0,194744
247110180,PADRE PIO P.,,IFFN,Tuna purse seiners,1,8893,0,1,1,1,1,0,,58:56.0,IOTC,16:43.0,08:09.0,83.05
432370000,EHIME MARU,,7JPF,Fishery research vessels,0,15685,0,1,1,1,1,1,1,27:40.0,WCPFC,26:12.0,27:34.0,55994.4
224020170,GARCIA RODRIGUEZ,,EA8383,Longliners,1,1,0,0,1,1,0,0,,00:00.0,IATTC,01:00.0,41:08.0,211.65
224100530,Gabriela y Maria,,EAMU,Longliners,1,8212,0,1,0,1,0,0,1,00:00.0,IATTC,00:10.0,06:27.0,1985.5
576507000,ASIAN REX,,YJQH9,Longliners,1,23990,2,1,0,1,1,1,,00:00.0,CCSBT,31:14.0,43:07.0,26788
627093246,RYUTA MARU,,3FSG7,Fish carriers,0,26899,1,0,0,0,0,0,,50:06.0,ICCAT,44:01.0,10:54.0,6110.75
576270000,HIKARI 1,9293313,3EFB3,Longliners,1,23974,1,0,1,0,1,1,,34:35.0,CCSBT,15:29.0,31:13.0,8297.3
273356760,HATSUKARI,,YJQL2,Fish carriers,0,23988,1,0,1,0,1,0,,23:33.0,IOTC,31:58.0,53:44.0,4294.4
441032000,SEI SHIN,,DSOP5,Fish carriers,0,24160,1,1,0,1,1,1,,49:25.0,WCPFC,44:34.0,30:44.0,194744
247110080,ENZA MADRE,,IQTM,Support Vessels,0,8695,0,1,1,1,1,1,0.999948435,24:53.0,ICCAT,58:37.0,19:23.0,86838.8
