mmsi,shipname,imo,callsign,shiptype,shiptype_fishing,clav_TUVI,imo_rank,callsign_rank,name_rank,flag_match,date_range_match,clav_date_match,fishing_msg_ratio,clav_DateUpdated,rfmo_name,match_start,match_end,match_score
431301346,SHINKAI MARU,,7LOV,Fishery research vessels,0,15661,0,0,1,1,0,1,,00:16.0,WCPFC,25:40.0,14:17.0,16635.2
357788000,VICTORIA NO. 168,8808252,3FTI9,Fish carriers,0,24156,1,1,1,0,1,1,,41:21.0,WCPFC,11:32.0,24:39.0,51490.8
227146300,CISBERLANDE 5,9251494,FPRE,Support Vessels,0,1626,1,1,0,1,0,1,1,21:27.0,ICCAT,46:06.0,58:49.0,210032
576274000,NEW SATSUKI,,YJVZ8,Fish carriers,0,23984,1,1,1,1,1,1,,27:13.0,IOTC,26:05.0,35:15.0,6854.4
370599000,IBUKI,9666481,3ELC8,Multipurpose vessels,1,24163,2,1,3,1,1,1,,35:10.0,CCSBT,07:32.0,18:27.0,62226.8
227503000,JEANMARIE CHRISTIAN3,9037458,FLRC,Support Vessels,0,1461,0,1,0,1,0,1,1,21:27.0,ICCAT,14:49.0,48:44.0,79002
431619000,Kano Maru,,7JLH,Longliners,1,15650,0,1,0,1,0,0,1,00:00.0,IATTC,10:02.0,21:35.0,2062.5
529578000,Yun Run 3,9161613,T3FZ2,Fish carriers,0,26933,1,1,0,1,1,1,,00:00.0,IATTC,49:17.0,28:17.0,103848
431619000,KANOU MARU,,7JLH,Fishery research vessels,0,15650,0,1,0,1,0,1,1,00:16.0,WCPFC,10:02.0,21:35.0,16500
431465000,SHOYO MARU,,JLOJ,Fishery research vessels,0,15762,0,1,7,1,1,1,,05:38.0,WCPFC,17:31.0,42:57.0,252590.8
441032000,SEI SHIN,8808161,DSOP5,Longliners,1,24160,1,1,0,1,1,1,,34:35.0,CCSBT,44:34.0,30:44.0,194744
416602000,SHUN TIAN FA NO.168,,BZEJ,Fish carriers,0,24162,1,1,1,1,0,1,0.354136273,34:24.0,WCPFC,14:50.0,55:31.0,73005.6
441720000,WIN DAR,9020780,3FHL7,Longliners,1,23967,1,0,0,0,0,1,,34:35.0,CCSBT,13:10.0,29:43.0,3760
431254000,Shonan Maru,,JDAI,Longliners,1,15619,0,1,0,1,0,0,1,00:00.0,IATTC,08:31.0,04:22.0,5319.25
576507000,ASIAN REX,,YJQH9,Fish carriers,0,23990,2,1,0,1,1,1,,28:47.0,IOTC,31:14.0,43:07.0,26788
229705000,SIERRA LAUREL,9163403,D5JZ8,Fish carriers,0,28476,1,0,1,0,1,0,,02:19.0,ICCAT,04:22.0,59:25.0,4584.525
431717000,Tanshu Maru,,JMRV,Longliners,1,15654,0,1,0,1,0,0,1,00:00.0,IATTC,28:29.0,02:31.0,3536.75
432954000,Sinkai Maru,,7LOV,Longliners,1,15661,0,1,0,1,0,0,0.654843111,00:00.0,IATTC,10:29.0,45:50.0,1282.75
273356760,Hatsukari,,YJQL2,Fish carriers,0,23988,1,0,0,0,0,0,,00:00.0,IATTC,31:58.0,53:44.0,3904
576277000,SHIN IZU,,YJQA5,Fish carriers,0,23981,1,1,1,1,1,1,,48:03.0,IOTC,32:18.0,57:09.0,187869.2
576397000,KAIHO MARU,,S7OJ,Fish carriers,0,38103,1,0,1,0,1,0,,15:16.0,IOTC,57:58.0,52:42.0,7986
224307000,ZAHARA DOS,9292333,ECGS,Support Vessels,0,8169,1,1,1,1,1,1,0.536082474,05:25.0,ICCAT,46:11.0,08:57.0,25561.2
224276000,ZAHARA UNO,9292321,HO9725,Non-fishing vessels nei,0,38496,1,0,1,0,1,0,0.044849785,01:05.0,ICCAT,12:04.0,27:27.0,1281.5
576274000,New Satsuki,,YJVZ8,Fish carriers,0,23984,1,1,0,1,1,1,,00:00.0,IATTC,26:05.0,35:15.0,6528
370599000,IBUKI,9666481,3ELC8,Fish carriers,0,24163,2,1,3,1,1,1,,10:56.0,ICCAT,07:32.0,18:27.0,62226.8
431002000,Chokai Maru,,JGGA,Longliners,1,15591,0,1,0,1,0,0,1,00:00.0,IATTC,42:50.0,18:28.0,31
416308000,CHEN YU NO.7,,BZLY,Fish carriers,0,24155,1,1,1,1,1,1,,55:11.0,WCPFC,02:02.0,54:25.0,331313.6
431469000,Kagawa Maru,,JIJQ,Longliners,1,15665,0,1,0,1,0,0,1,00:00.0,IATTC,30:37.0,26:57.0,3904.25
576276000,SHIN FUJI,9140281,YJQA4,Fish carriers,0,23982,1,1,1,1,1,1,,14:22.0,ICCAT,32:23.0,02:09.0,244120.8
576397000,KAIHO MARU,8909680,YJQE4,Longliners,1,38103,1,1,1,1,1,0,,00:00.0,CCSBT,57:58.0,52:42.0,15246
229705000,Sierra Laurel,,,Longliners,1,28476,1,0,0,0,0,0,,00:00.0,IATTC,04:22.0,59:25.0,4167.75
271072850,FATOGLU KARDESLER 1,,,Non-fishing vessels nei,0,6935,0,0,1,1,0,0,1,00:00.0,ICCAT,58:08.0,57:16.0,129.975
576274000,NEW SATSUKI,,YJVZ8,Fish carriers,0,23984,1,1,1,1,1,0,,06:11.0,WCPFC,26:05.0,35:15.0,428.4
577132000,CHIKUMA,9666493,D5JI4,Fish carriers,0,24164,1,0,1,0,1,0,,46:03.0,WCPFC,29:42.0,24:31.0,5237.9
577169000,TAISEI MARU NO.15,,7JTK,Fish carriers,0,23977,1,0,1,0,1,0,,49:24.0,WCPFC,11:44.0,08:32.0,4728.625
576397000,KAIHO MARU,8909680,YJQE4,Fish carriers,0,38103,1,1,1,0,1,1,,20:00.0,ICCAT,57:58.0,52:42.0,60984
529346000,HOZAN MARU,8604967,YJQB9,Longliners,1,23965,1,0,0,0,0,1,,00:00.0,CCSBT,36:03.0,07:20.0,21027
577077000,TAIHO MARU,,YJRZ2,Fish carriers,0,26785,1,1,2,1,1,1,,18:43.0,IOTC,17:54.0,22:54.0,363459.6
576397000,Kaiho Maru,,YJQE4,Fish carriers,0,38103,1,1,0,0,1,1,,00:00.0,IATTC,57:58.0,52:42.0,58080
416730000,LIAN JYI HSING,,BI2037,Fish carriers,0,23961,0,1,1,1,1,1,0.245853081,08:16.0,WCPFC,34:45.0,54:00.0,28946
432370000,Ehime Maru,,7JPF,Longliners,1,15685,0,1,0,1,0,0,1,00:00.0,IATTC,26:12.0,27:34.0,3181.5
431028000,HOKUHO MARU,,JLRE,Fishery research vessels,0,15586,0,1,1,1,1,1,,52:44.0,WCPFC,24:28.0,55:53.0,170253.6
576274000,NEW SATSUKI,8920024,YJVZ8,Fish carriers,0,23984,1,1,1,1,1,0,,53:21.0,ICCAT,26:05.0,35:15.0,428.4
416833000,CHANG LI NO.1,,BH3293,Fish carriers,0,5738,0,1,1,1,1,1,1,34:19.0,WCPFC,10:05.0,33:45.0,4298.8
432564000,NIPPON FSM,9400265,V6PNF,Purse seiners,1,819,1,0,0,0,0,0,1,41:32.0,WCPFC,26:03.0,59:23.0,2880.75
577105000,RYOMA,9133305,YJTA9,Longliners,1,26898,1,1,1,1,1,1,,34:35.0,CCSBT,43:51.0,13:08.0,317552.8
576274000,NEW SATSUKI,,YJVZ8,Longliners,1,23984,1,1,1,1,1,1,,00:00.0,CCSBT,26:05.0,35:15.0,6854.4
431796000,TAIKEI MARU NO.1,,JRTG,Tuna purse seiners,1,1223,0,1,1,1,1,1,1,58:19.0,WCPFC,36:48.0,48:25.0,52734.4
224307000,ZAHARA DOS,,ECGS,Unknown,1,8169,1,1,1,1,1,1,0.536082474,13:05.0,IOTC,46:11.0,08:57.0,25561.2
416171700,Hsien Hua No. 107,9225768,BI2552,Longliners,1,463,0,1,0,1,0,1,,00:00.0,IATTC,16:10.0,22:06.0,2588
432564000,NIPPON MARU,9400265,7JBN,Fishery research vessels,0,819,1,1,4,1,1,0,1,28:21.0,IOTC,26:03.0,59:23.0,6049.575
